day,gasp,oilp
4/18/22,3.288,108.24
4/14/22,3.282,106.84
4/13/22,3.212,104.26
4/12/22,3.088,100.52
4/11/22,2.94,94.22
4/8/22,3.063,98.35
4/7/22,2.989,96.05
4/6/22,3.001,96.39
4/4/22,3.16,103.29
4/1/22,3.081,99.32
3/31/22,3.117,100.53
3/30/22,3.245,107.81
3/29/22,3.149,104.25
3/28/22,3.103,107.55
3/25/22,3.38,116.2
3/24/22,3.302,114.2
3/23/22,3.365,114.89
3/22/22,3.251,111.03
3/21/22,3.314,112.14
3/18/22,3.175,104.69
3/17/22,3.145,102.97
3/16/22,2.889,94.85
3/15/22,2.883,96.42
3/14/22,3.079,103.22
3/11/22,3.221,109.31
3/10/22,3.061,105.93
3/9/22,3.191,108.81
3/8/22,3.532,123.64
3/7/22,3.417,119.26
3/4/22,3.386,115.77
3/3/22,3.145,107.69
3/2/22,3.198,110.74
3/1/22,2.977,103.66
2/28/22,2.586,96.13
2/25/22,2.535,91.68
2/24/22,2.58,92.77
2/23/22,2.69,92.14
2/22/22,2.69,92.11
2/21/22,2.677,91.26
2/18/22,2.678,91.26
2/17/22,2.64,91.78
2/16/22,2.608,93.83
2/15/22,2.671,92.07
2/14/22,2.764,95.52
2/11/22,2.747,93.1
2/10/22,2.657,89.83
2/9/22,2.657,89.57
2/8/22,2.634,89.32
2/7/22,2.693,91.25
2/4/22,2.668,92.27
2/3/22,2.636,90.17
2/2/22,2.597,88.16
2/1/22,2.579,88.22
1/31/22,2.544,89.16
1/28/22,2.55,87.67
1/27/22,2.548,87.61
1/26/22,2.52,88.33
1/25/22,2.443,86.61
1/24/22,2.412,84.48
1/21/22,2.431,85.16
1/20/22,2.431,86.29
1/19/22,2.447,86.84
1/18/22,2.45,85.42
1/17/22,2.425,83.82
1/14/22,2.425,83.82
1/13/22,2.377,81.97
1/12/22,2.399,82.51
1/11/22,2.351,81.17
1/10/22,2.273,78.11
1/7/22,2.296,79
1/6/22,2.306,79.47
1/5/22,2.272,77.83
1/4/22,2.276,77
1/3/22,2.252,75.99
12/31/21,2.224,75.33
12/30/21,2.264,76.83
12/29/21,2.26,76.58
12/28/21,2.236,76.01
12/27/21,2.228,75.49
12/23/21,2.197,73.89
12/22/21,2.154,72.82
12/21/21,2.137,71.1
12/20/21,2.074,68.69
12/17/21,2.106,70.93
12/16/21,2.128,72.34
12/15/21,2.119,70.89
12/14/21,2.069,70.57
12/13/21,2.096,71.19
12/10/21,2.12,71.71
12/9/21,2.125,70.87
12/8/21,2.172,72.43
12/7/21,2.125,71.94
12/6/21,2.068,69.62
12/3/21,1.974,66.39
12/2/21,2,66.6
12/1/21,1.967,65.44
11/30/21,2.01,66.14
11/29/21,2.1,69.88
11/26/21,,78.32
11/25/21,,78.32
11/24/21,2.275,78.32
11/23/21,2.302,78.32
11/22/21,2.205,76.74
11/19/21,2.163,76.11
11/18/21,2.253,78.92
11/17/21,2.24,78.32
11/16/21,2.318,80.76
11/15/21,2.311,80.85
11/12/21,2.288,80.87
11/11/21,2.291,81.47
11/10/21,2.28,81.23
11/9/21,2.36,84.12
11/8/21,2.319,81.96
11/5/21,2.308,81.25
11/4/21,2.292,78.88
11/3/21,2.36,80.82
11/2/21,2.466,83.91
11/1/21,2.457,84.08
10/29/21,2.485,83.5
10/28/21,2.471,82.78
10/27/21,2.469,82.66
10/26/21,2.552,85.64
10/25/21,2.506,84.64
10/22/21,2.481,84.53
10/21/21,2.474,82.64
10/20/21,2.494,84.4
10/19/21,2.462,83.19
10/18/21,2.467,82.62
10/15/21,2.466,82.39
10/14/21,2.436,81.43
10/13/21,2.406,80.67
10/12/21,2.384,80.75
10/11/21,2.392,80.64
10/8/21,2.373,79.55
10/7/21,2.35,78.46
10/6/21,2.32,77.66
10/5/21,2.368,79.17
10/4/21,2.322,77.68
10/1/21,2.253,76.01
9/30/21,2.264,75.22
9/29/21,2.237,75.06
9/28/21,2.224,75.44
9/27/21,2.267,75.54
9/24/21,2.183,74.18
9/23/21,2.159,73.43
9/22/21,2.124,72.37
9/21/21,2.123,70.51
9/20/21,2.143,70.41
9/17/21,2.195,72.09
9/16/21,2.209,72.69
9/15/21,2.24,72.59
9/14/21,2.219,70.53
9/13/21,2.224,70.54
9/10/21,2.192,69.82
9/9/21,2.176,68.26
9/8/21,2.2,69.36
9/7/21,2.178,68.49
9/3/21,2.219,69.34
9/2/21,2.227,70.07
9/1/21,2.178,68.63
8/31/21,2.353,68.43
8/30/21,2.415,69.28
8/27/21,2.385,68.84
8/26/21,2.366,67.42
8/25/21,2.391,68.54
8/24/21,2.251,67.5
8/23/21,2.078,65.65
8/20/21,1.958,62.25
8/19/21,2.032,63.69
8/18/21,2.07,65.36
8/17/21,2.105,66.5
8/16/21,2.151,67.44
8/13/21,2.196,68.36
8/12/21,2.224,69.12
8/11/21,2.256,69.3
8/10/21,2.224,68.33
8/9/21,2.203,66.56
8/6/21,2.2,68.26
8/5/21,2.242,69.1
8/4/21,2.188,68.19
8/3/21,2.217,70.64
8/2/21,2.233,71.31
7/30/21,2.309,73.93
7/29/21,2.295,73.62
7/28/21,2.252,72.37
7/27/21,2.248,71.68
7/26/21,2.237,72.15
7/23/21,2.21,72.24
7/22/21,2.197,72.15
7/21/21,2.145,70.26
7/20/21,2.069,67.32
7/19/21,2.055,66.45
7/16/21,2.185,71.76
7/15/21,2.179,71.67
7/14/21,2.223,73.06
7/13/21,2.257,75.24
7/12/21,2.225,74.21
7/9/21,2.236,74.56
7/8/21,2.209,72.98
7/7/21,2.151,72.22
7/6/21,2.184,73.62
7/5/21,,75.37
7/2/21,2.251,75.37
7/1/21,2.195,75.33
6/30/21,2.172,73.52
6/29/21,2.174,73.14
6/28/21,2.135,72.98
6/25/21,2.182,74.21
